"lake","STATION","DBKEY","lake.lab","stg.con.val"
"HART","S62_H","WN219","Lakes Hart, Mary Jane",1.1
"HART","LKMJ","16239","Lakes Hart, Mary Jane",1.1
"ETOHO","S59_H","WN265","East Lake Tohopekaliga",1
"ETOHO","TOHOEE","V7583","East Lake Tohopekaliga",1
"TOHO","S61_H","WN255","Lake Tohopekaliga",1.2
"TOHO","TOHOW","LQ978","Lake Tohopekaliga",1.2
"CYPR","LCYP19R","88301","Cypress Lake",1.2
"HATCH","LHATCH3","T0937","Lake Hatchineha",1.2
"MYRT","S57_H","WN239","Lake Myrtle, Preston, Joel",1
"ALLI","S58_H","15529","Lakes Trout, Coon, Center, Lizzie, Alligator",1
"ALLI","LLZZ","FZ584","Lakes Trout, Coon, Center, Lizzie, Alligator",1
"ALLI","ALLI","FZ586","Lakes Trout, Coon, Center, Lizzie, Alligator",1
"GENT","S63_H","WN328","Lake Gentry",1.1
"GENT","LKGT","DO539","Lake Gentry",1.1
"KISS","S65_H","WN313","Lake Kissimee",1.2
"KISS","LKISS","AN593","Lake Kissimee",1.2
