"DBKEY","Station","Daily.Date","Data.Value","Qualifier","Revision.Date","Date","STATION","lake","DATE"
"15529","S58_H",2022-05-01,62.74,"",2022-05-09,2022-05-01,"S58_H","ALLI",2022-05-01
"15529","S58_H",2022-05-02,62.74,"",2022-05-09,2022-05-02,"S58_H","ALLI",2022-05-02
"15529","S58_H",2022-05-03,62.7,"",2022-05-09,2022-05-03,"S58_H","ALLI",2022-05-03
"15529","S58_H",2022-05-04,62.66,"",2022-05-09,2022-05-04,"S58_H","ALLI",2022-05-04
"15529","S58_H",2022-05-05,62.63,"",2022-05-09,2022-05-05,"S58_H","ALLI",2022-05-05
"15529","S58_H",2022-05-06,62.6,"",2022-05-09,2022-05-06,"S58_H","ALLI",2022-05-06
"15529","S58_H",2022-05-07,62.58,"",2022-05-09,2022-05-07,"S58_H","ALLI",2022-05-07
"15529","S58_H",2022-05-08,62.52,"",2022-05-17,2022-05-08,"S58_H","ALLI",2022-05-08
"15529","S58_H",2022-05-09,62.47,"",2022-05-17,2022-05-09,"S58_H","ALLI",2022-05-09
"15529","S58_H",2022-05-10,62.45,"",2022-05-17,2022-05-10,"S58_H","ALLI",2022-05-10
"15529","S58_H",2022-05-11,62.42,"",2022-05-17,2022-05-11,"S58_H","ALLI",2022-05-11
"15529","S58_H",2022-05-12,62.41,"",2022-05-17,2022-05-12,"S58_H","ALLI",2022-05-12
"15529","S58_H",2022-05-13,62.41,"",2022-05-17,2022-05-13,"S58_H","ALLI",2022-05-13
"15529","S58_H",2022-05-14,62.4,"",2022-05-17,2022-05-14,"S58_H","ALLI",2022-05-14
"15529","S58_H",2022-05-15,62.39,"",2022-05-17,2022-05-15,"S58_H","ALLI",2022-05-15
"15529","S58_H",2022-05-16,62.4,"",2022-05-26,2022-05-16,"S58_H","ALLI",2022-05-16
"15529","S58_H",2022-05-17,62.36,"",2022-05-26,2022-05-17,"S58_H","ALLI",2022-05-17
"15529","S58_H",2022-05-18,62.32,"",2022-05-26,2022-05-18,"S58_H","ALLI",2022-05-18
"15529","S58_H",2022-05-19,62.28,"",2022-05-26,2022-05-19,"S58_H","ALLI",2022-05-19
"15529","S58_H",2022-05-20,62.24,"",2022-05-26,2022-05-20,"S58_H","ALLI",2022-05-20
"15529","S58_H",2022-05-21,62.21,"",2022-05-26,2022-05-21,"S58_H","ALLI",2022-05-21
"15529","S58_H",2022-05-22,62.16,"",2022-05-26,2022-05-22,"S58_H","ALLI",2022-05-22
"15529","S58_H",2022-05-23,62.13,"",2022-05-26,2022-05-23,"S58_H","ALLI",2022-05-23
"15529","S58_H",2022-05-24,62.11,"",2022-05-26,2022-05-24,"S58_H","ALLI",2022-05-24
"15529","S58_H",2022-05-25,62.09,"",2022-06-06,2022-05-25,"S58_H","ALLI",2022-05-25
"15529","S58_H",2022-05-26,62.07,"",2022-06-06,2022-05-26,"S58_H","ALLI",2022-05-26
"15529","S58_H",2022-05-27,62.08,"",2022-06-06,2022-05-27,"S58_H","ALLI",2022-05-27
"15529","S58_H",2022-05-28,62.07,"",2022-06-06,2022-05-28,"S58_H","ALLI",2022-05-28
"15529","S58_H",2022-05-29,62.04,"",2022-06-06,2022-05-29,"S58_H","ALLI",2022-05-29
"15529","S58_H",2022-05-30,61.96,"",2022-06-06,2022-05-30,"S58_H","ALLI",2022-05-30
"15529","S58_H",2022-05-31,61.91,"",2022-06-06,2022-05-31,"S58_H","ALLI",2022-05-31
"15529","S58_H",2022-06-01,61.88,"",2022-06-06,2022-06-01,"S58_H","ALLI",2022-06-01
"15529","S58_H",2022-06-02,61.88,"",2022-06-06,2022-06-02,"S58_H","ALLI",2022-06-02
"15529","S58_H",2022-06-03,61.88,"",2022-06-06,2022-06-03,"S58_H","ALLI",2022-06-03
"15529","S58_H",2022-06-04,61.89,"",2022-06-06,2022-06-04,"S58_H","ALLI",2022-06-04
"15529","S58_H",2022-06-05,61.91,"",2022-06-14,2022-06-05,"S58_H","ALLI",2022-06-05
"15529","S58_H",2022-06-06,61.91,"",2022-06-14,2022-06-06,"S58_H","ALLI",2022-06-06
"15529","S58_H",2022-06-07,61.91,"",2022-06-14,2022-06-07,"S58_H","ALLI",2022-06-07
"15529","S58_H",2022-06-08,61.96,"",2022-06-14,2022-06-08,"S58_H","ALLI",2022-06-08
"15529","S58_H",2022-06-09,62.04,"",2022-06-14,2022-06-09,"S58_H","ALLI",2022-06-09
"15529","S58_H",2022-06-10,62.07,"",2022-06-14,2022-06-10,"S58_H","ALLI",2022-06-10
"15529","S58_H",2022-06-11,62.09,"",2022-06-14,2022-06-11,"S58_H","ALLI",2022-06-11
"15529","S58_H",2022-06-12,62.09,"",2022-06-14,2022-06-12,"S58_H","ALLI",2022-06-12
"15529","S58_H",2022-06-13,62.08,"",2022-06-23,2022-06-13,"S58_H","ALLI",2022-06-13
"15529","S58_H",2022-06-14,62.06,"",2022-06-23,2022-06-14,"S58_H","ALLI",2022-06-14
"15529","S58_H",2022-06-15,62.05,"",2022-06-23,2022-06-15,"S58_H","ALLI",2022-06-15
"15529","S58_H",2022-06-16,62.04,"",2022-06-23,2022-06-16,"S58_H","ALLI",2022-06-16
"15529","S58_H",2022-06-17,62.02,"",2022-06-23,2022-06-17,"S58_H","ALLI",2022-06-17
"15529","S58_H",2022-06-18,62.03,"",2022-06-23,2022-06-18,"S58_H","ALLI",2022-06-18
"15529","S58_H",2022-06-19,62.02,"",2022-06-23,2022-06-19,"S58_H","ALLI",2022-06-19
"15529","S58_H",2022-06-20,62.01,"",2022-06-23,2022-06-20,"S58_H","ALLI",2022-06-20
"15529","S58_H",2022-06-21,62.01,"",2022-06-23,2022-06-21,"S58_H","ALLI",2022-06-21
"15529","S58_H",2022-06-22,62,"",2022-07-01,2022-06-22,"S58_H","ALLI",2022-06-22
"15529","S58_H",2022-06-23,62,"",2022-07-01,2022-06-23,"S58_H","ALLI",2022-06-23
"15529","S58_H",2022-06-24,61.99,"",2022-07-01,2022-06-24,"S58_H","ALLI",2022-06-24
"15529","S58_H",2022-06-25,61.97,"",2022-07-01,2022-06-25,"S58_H","ALLI",2022-06-25
"15529","S58_H",2022-06-26,62.01,"",2022-07-01,2022-06-26,"S58_H","ALLI",2022-06-26
"15529","S58_H",2022-06-27,62.03,"",2022-07-01,2022-06-27,"S58_H","ALLI",2022-06-27
"15529","S58_H",2022-06-28,62.05,"",2022-07-01,2022-06-28,"S58_H","ALLI",2022-06-28
"15529","S58_H",2022-06-29,62.04,"",2022-07-01,2022-06-29,"S58_H","ALLI",2022-06-29
"15529","S58_H",2022-06-30,62.05,"",2022-07-13,2022-06-30,"S58_H","ALLI",2022-06-30
"15529","S58_H",2022-07-01,62.04,"",2022-07-13,2022-07-01,"S58_H","ALLI",2022-07-01
"15529","S58_H",2022-07-02,62.03,"",2022-07-13,2022-07-02,"S58_H","ALLI",2022-07-02
"15529","S58_H",2022-07-03,62.04,"",2022-07-13,2022-07-03,"S58_H","ALLI",2022-07-03
"15529","S58_H",2022-07-04,62.07,"",2022-07-13,2022-07-04,"S58_H","ALLI",2022-07-04
"15529","S58_H",2022-07-05,62.05,"",2022-07-13,2022-07-05,"S58_H","ALLI",2022-07-05
"15529","S58_H",2022-07-06,62.06,"",2022-07-13,2022-07-06,"S58_H","ALLI",2022-07-06
"15529","S58_H",2022-07-07,62.1,"",2022-07-13,2022-07-07,"S58_H","ALLI",2022-07-07
"15529","S58_H",2022-07-08,62.11,"",2022-07-13,2022-07-08,"S58_H","ALLI",2022-07-08
"15529","S58_H",2022-07-09,62.14,"",2022-07-13,2022-07-09,"S58_H","ALLI",2022-07-09
"15529","S58_H",2022-07-10,62.14,"",2022-07-13,2022-07-10,"S58_H","ALLI",2022-07-10
"15529","S58_H",2022-07-11,62.16,"",2022-07-13,2022-07-11,"S58_H","ALLI",2022-07-11
"15529","S58_H",2022-07-12,62.14,"",2022-07-21,2022-07-12,"S58_H","ALLI",2022-07-12
"15529","S58_H",2022-07-13,62.13,"",2022-07-21,2022-07-13,"S58_H","ALLI",2022-07-13
"15529","S58_H",2022-07-14,62.11,"",2022-07-21,2022-07-14,"S58_H","ALLI",2022-07-14
"15529","S58_H",2022-07-15,62.1,"",2022-07-21,2022-07-15,"S58_H","ALLI",2022-07-15
"15529","S58_H",2022-07-16,62.15,"",2022-07-21,2022-07-16,"S58_H","ALLI",2022-07-16
"15529","S58_H",2022-07-17,62.29,"",2022-07-21,2022-07-17,"S58_H","ALLI",2022-07-17
"15529","S58_H",2022-07-18,62.31,"",2022-07-21,2022-07-18,"S58_H","ALLI",2022-07-18
"15529","S58_H",2022-07-19,62.3,"",2022-07-21,2022-07-19,"S58_H","ALLI",2022-07-19
"15529","S58_H",2022-07-20,62.3,"",2022-07-29,2022-07-20,"S58_H","ALLI",2022-07-20
"15529","S58_H",2022-07-21,62.31,"",2022-07-29,2022-07-21,"S58_H","ALLI",2022-07-21
"15529","S58_H",2022-07-22,62.31,"",2022-07-29,2022-07-22,"S58_H","ALLI",2022-07-22
"15529","S58_H",2022-07-23,62.33,"",2022-07-29,2022-07-23,"S58_H","ALLI",2022-07-23
"15529","S58_H",2022-07-24,62.38,"",2022-07-29,2022-07-24,"S58_H","ALLI",2022-07-24
"15529","S58_H",2022-07-25,62.38,"",2022-07-29,2022-07-25,"S58_H","ALLI",2022-07-25
"15529","S58_H",2022-07-26,62.38,"",2022-07-29,2022-07-26,"S58_H","ALLI",2022-07-26
"15529","S58_H",2022-07-27,62.38,"",2022-07-29,2022-07-27,"S58_H","ALLI",2022-07-27
"15529","S58_H",2022-07-28,62.38,"",2022-08-08,2022-07-28,"S58_H","ALLI",2022-07-28
"15529","S58_H",2022-07-29,62.37,"",2022-08-08,2022-07-29,"S58_H","ALLI",2022-07-29
"15529","S58_H",2022-07-30,62.35,"",2022-08-08,2022-07-30,"S58_H","ALLI",2022-07-30
"15529","S58_H",2022-07-31,62.34,"",2022-08-08,2022-07-31,"S58_H","ALLI",2022-07-31
"15529","S58_H",2022-08-01,62.34,"",2022-08-08,2022-08-01,"S58_H","ALLI",2022-08-01
"15529","S58_H",2022-08-02,62.39,"",2022-08-08,2022-08-02,"S58_H","ALLI",2022-08-02
"15529","S58_H",2022-08-03,62.38,"",2022-08-08,2022-08-03,"S58_H","ALLI",2022-08-03
"15529","S58_H",2022-08-04,62.36,"",2022-08-08,2022-08-04,"S58_H","ALLI",2022-08-04
"15529","S58_H",2022-08-05,62.35,"",2022-08-08,2022-08-05,"S58_H","ALLI",2022-08-05
"15529","S58_H",2022-08-06,62.34,"",2022-08-08,2022-08-06,"S58_H","ALLI",2022-08-06
"15529","S58_H",2022-08-07,62.33,"",2022-08-12,2022-08-07,"S58_H","ALLI",2022-08-07
"15529","S58_H",2022-08-08,62.33,"",2022-08-12,2022-08-08,"S58_H","ALLI",2022-08-08
"15529","S58_H",2022-08-09,62.36,"",2022-08-12,2022-08-09,"S58_H","ALLI",2022-08-09
"15529","S58_H",2022-08-10,62.36,"",2022-08-12,2022-08-10,"S58_H","ALLI",2022-08-10
"15529","S58_H",2022-08-11,62.36,"",2022-08-25,2022-08-11,"S58_H","ALLI",2022-08-11
"15529","S58_H",2022-08-12,62.36,"",2022-08-25,2022-08-12,"S58_H","ALLI",2022-08-12
"15529","S58_H",2022-08-13,62.4,"",2022-08-25,2022-08-13,"S58_H","ALLI",2022-08-13
"15529","S58_H",2022-08-14,62.51,"",2022-08-25,2022-08-14,"S58_H","ALLI",2022-08-14
"15529","S58_H",2022-08-15,62.52,"",2022-08-25,2022-08-15,"S58_H","ALLI",2022-08-15
"15529","S58_H",2022-08-16,62.53,"",2022-08-25,2022-08-16,"S58_H","ALLI",2022-08-16
"15529","S58_H",2022-08-17,62.52,"",2022-08-25,2022-08-17,"S58_H","ALLI",2022-08-17
"15529","S58_H",2022-08-18,62.51,"",2022-08-25,2022-08-18,"S58_H","ALLI",2022-08-18
"15529","S58_H",2022-08-19,62.52,"",2022-08-25,2022-08-19,"S58_H","ALLI",2022-08-19
"15529","S58_H",2022-08-20,62.54,"",2022-08-25,2022-08-20,"S58_H","ALLI",2022-08-20
"15529","S58_H",2022-08-21,62.54,"",2022-08-25,2022-08-21,"S58_H","ALLI",2022-08-21
"15529","S58_H",2022-08-22,62.55,"",2022-08-25,2022-08-22,"S58_H","ALLI",2022-08-22
"15529","S58_H",2022-08-23,62.58,"",2022-08-25,2022-08-23,"S58_H","ALLI",2022-08-23
"15529","S58_H",2022-08-24,62.59,"",2022-09-06,2022-08-24,"S58_H","ALLI",2022-08-24
"15529","S58_H",2022-08-25,62.6,"",2022-09-06,2022-08-25,"S58_H","ALLI",2022-08-25
"15529","S58_H",2022-08-26,62.62,"",2022-09-06,2022-08-26,"S58_H","ALLI",2022-08-26
"15529","S58_H",2022-08-27,62.65,"",2022-09-06,2022-08-27,"S58_H","ALLI",2022-08-27
"15529","S58_H",2022-08-28,62.7,"",2022-09-06,2022-08-28,"S58_H","ALLI",2022-08-28
"15529","S58_H",2022-08-29,62.77,"",2022-09-06,2022-08-29,"S58_H","ALLI",2022-08-29
"15529","S58_H",2022-08-30,62.83,"",2022-09-06,2022-08-30,"S58_H","ALLI",2022-08-30
"15529","S58_H",2022-08-31,62.9,"",2022-09-06,2022-08-31,"S58_H","ALLI",2022-08-31
"15529","S58_H",2022-09-01,62.99,"",2022-09-06,2022-09-01,"S58_H","ALLI",2022-09-01
"15529","S58_H",2022-09-02,63.01,"",2022-09-06,2022-09-02,"S58_H","ALLI",2022-09-02
"15529","S58_H",2022-09-03,63.04,"",2022-09-06,2022-09-03,"S58_H","ALLI",2022-09-03
"15529","S58_H",2022-09-04,63.05,"",2022-09-06,2022-09-04,"S58_H","ALLI",2022-09-04
"15529","S58_H",2022-09-05,63.07,"",2022-09-12,2022-09-05,"S58_H","ALLI",2022-09-05
"15529","S58_H",2022-09-06,63.07,"",2022-09-12,2022-09-06,"S58_H","ALLI",2022-09-06
"15529","S58_H",2022-09-07,63.08,"",2022-09-12,2022-09-07,"S58_H","ALLI",2022-09-07
"15529","S58_H",2022-09-08,63.1,"",2022-09-12,2022-09-08,"S58_H","ALLI",2022-09-08
"15529","S58_H",2022-09-09,63.2,"",2022-09-12,2022-09-09,"S58_H","ALLI",2022-09-09
"15529","S58_H",2022-09-10,63.29,"",2022-09-12,2022-09-10,"S58_H","ALLI",2022-09-10
"15529","S58_H",2022-09-11,63.3,"",2022-09-21,2022-09-11,"S58_H","ALLI",2022-09-11
"15529","S58_H",2022-09-12,63.27,"",2022-09-21,2022-09-12,"S58_H","ALLI",2022-09-12
"15529","S58_H",2022-09-13,63.24,"",2022-09-21,2022-09-13,"S58_H","ALLI",2022-09-13
"15529","S58_H",2022-09-14,63.24,"",2022-09-21,2022-09-14,"S58_H","ALLI",2022-09-14
"15529","S58_H",2022-09-15,63.25,"",2022-09-21,2022-09-15,"S58_H","ALLI",2022-09-15
"15529","S58_H",2022-09-16,63.28,"",2022-09-21,2022-09-16,"S58_H","ALLI",2022-09-16
"15529","S58_H",2022-09-17,63.28,"",2022-09-21,2022-09-17,"S58_H","ALLI",2022-09-17
"15529","S58_H",2022-09-18,63.28,"",2022-09-21,2022-09-18,"S58_H","ALLI",2022-09-18
"15529","S58_H",2022-09-19,63.34,"",2022-09-21,2022-09-19,"S58_H","ALLI",2022-09-19
"15529","S58_H",2022-09-20,63.4,"",2022-09-30,2022-09-20,"S58_H","ALLI",2022-09-20
"15529","S58_H",2022-09-21,63.35,"",2022-09-30,2022-09-21,"S58_H","ALLI",2022-09-21
"15529","S58_H",2022-09-22,63.31,"",2022-09-30,2022-09-22,"S58_H","ALLI",2022-09-22
"15529","S58_H",2022-09-23,63.27,"",2022-09-30,2022-09-23,"S58_H","ALLI",2022-09-23
"15529","S58_H",2022-09-24,63.19,"",2022-09-30,2022-09-24,"S58_H","ALLI",2022-09-24
"15529","S58_H",2022-09-25,63.1,"",2022-09-30,2022-09-25,"S58_H","ALLI",2022-09-25
"15529","S58_H",2022-09-26,63,"",2022-09-30,2022-09-26,"S58_H","ALLI",2022-09-26
"15529","S58_H",2022-09-27,62.96,"",2022-09-30,2022-09-27,"S58_H","ALLI",2022-09-27
"15529","S58_H",2022-09-28,63.2,"",2022-09-30,2022-09-28,"S58_H","ALLI",2022-09-28
"15529","S58_H",2022-09-29,64.6,"",2022-10-11,2022-09-29,"S58_H","ALLI",2022-09-29
"15529","S58_H",2022-09-30,64.87,"",2022-10-11,2022-09-30,"S58_H","ALLI",2022-09-30
"15529","S58_H",2022-10-01,64.95,"",2022-10-11,2022-10-01,"S58_H","ALLI",2022-10-01
"15529","S58_H",2022-10-02,64.99,"",2022-10-11,2022-10-02,"S58_H","ALLI",2022-10-02
"15529","S58_H",2022-10-03,65.03,"",2022-10-11,2022-10-03,"S58_H","ALLI",2022-10-03
"15529","S58_H",2022-10-04,65.06,"",2022-10-11,2022-10-04,"S58_H","ALLI",2022-10-04
"15529","S58_H",2022-10-05,65.08,"",2022-10-11,2022-10-05,"S58_H","ALLI",2022-10-05
"15529","S58_H",2022-10-06,65.07,"",2022-10-11,2022-10-06,"S58_H","ALLI",2022-10-06
"15529","S58_H",2022-10-07,65.05,"",2022-10-11,2022-10-07,"S58_H","ALLI",2022-10-07
"15529","S58_H",2022-10-08,64.94,"",2022-10-11,2022-10-08,"S58_H","ALLI",2022-10-08
"15529","S58_H",2022-10-09,64.92,"",2022-10-11,2022-10-09,"S58_H","ALLI",2022-10-09
"15529","S58_H",2022-10-10,64.93,"",2022-10-20,2022-10-10,"S58_H","ALLI",2022-10-10
"15529","S58_H",2022-10-11,64.84,"",2022-10-20,2022-10-11,"S58_H","ALLI",2022-10-11
"15529","S58_H",2022-10-12,64.83,"",2022-10-20,2022-10-12,"S58_H","ALLI",2022-10-12
"15529","S58_H",2022-10-13,64.87,"",2022-10-20,2022-10-13,"S58_H","ALLI",2022-10-13
"15529","S58_H",2022-10-14,64.8,"",2022-10-20,2022-10-14,"S58_H","ALLI",2022-10-14
