"Station","DBKEY","Daily.Date","Data.Value","Qualifier","Revision.Date","Date"
"S77_S","DJ235",2021-05-01,1781,"",2021-05-06,2021-05-01
"S77_S","DJ235",2021-05-02,1700,"",2021-05-06,2021-05-02
"S77_S","DJ235",2021-05-03,1660,"",2021-05-06,2021-05-03
"S77_S","DJ235",2021-05-04,1881,"",2021-05-06,2021-05-04
"S77_S","DJ235",2021-05-05,2064,"",2021-05-06,2021-05-05
"S77_S","DJ235",2021-05-06,1980,"",2021-05-07,2021-05-06
"S77_S","DJ235",2021-05-07,1952,"",2021-05-10,2021-05-07
"S77_S","DJ235",2021-05-08,2198,"",2021-05-10,2021-05-08
"S77_S","DJ235",2021-05-09,2534,"",2021-05-10,2021-05-09
"S77_S","DJ235",2021-05-10,2318,"",2021-05-11,2021-05-10
"S77_S","DJ235",2021-05-11,1830,"",2021-05-12,2021-05-11
"S77_S","DJ235",2021-05-12,1334,"",2021-05-13,2021-05-12
"S77_S","DJ235",2021-05-13,1858,"",2021-05-14,2021-05-13
"S77_S","DJ235",2021-05-14,806,"",2021-05-18,2021-05-14
"S77_S","DJ235",2021-05-15,769,"",2021-05-18,2021-05-15
"S77_S","DJ235",2021-05-16,771,"",2021-05-18,2021-05-16
"S77_S","DJ235",2021-05-17,1025,"",2021-05-18,2021-05-17
"S77_S","DJ235",2021-05-18,2190,"",2021-05-19,2021-05-18
"S77_S","DJ235",2021-05-19,2692,"",2021-05-20,2021-05-19
"S77_S","DJ235",2021-05-20,2324,"",2021-05-21,2021-05-20
"S77_S","DJ235",2021-05-21,2055,"",2021-05-23,2021-05-21
"S77_S","DJ235",2021-05-22,2064,"",2021-05-23,2021-05-22
"S77_S","DJ235",2021-05-23,860,"",2021-05-24,2021-05-23
"S77_S","DJ235",2021-05-24,1443,"",2021-05-26,2021-05-24
"S77_S","DJ235",2021-05-25,2136,"",2021-05-26,2021-05-25
"S77_S","DJ235",2021-05-26,2260,"",2021-06-01,2021-05-26
"S77_S","DJ235",2021-05-27,1920,"",2021-06-01,2021-05-27
"S77_S","DJ235",2021-05-28,1650,"",2021-06-01,2021-05-28
