"DBKEY","Station","Daily.Date","Data.Value","Qualifier","Revision.Date","Date","UNITS","STATION","DATE"
"06832","L OKEE",2021-05-01,13.99,"",2021-05-06,2021-05-01,"ft NGVD29","LOK1",2021-05-01
"06832","L OKEE",2021-05-02,13.97,"",2021-05-06,2021-05-02,"ft NGVD29","LOK1",2021-05-02
"06832","L OKEE",2021-05-03,13.95,"",2021-05-06,2021-05-03,"ft NGVD29","LOK1",2021-05-03
"06832","L OKEE",2021-05-04,13.92,"",2021-05-06,2021-05-04,"ft NGVD29","LOK1",2021-05-04
"06832","L OKEE",2021-05-05,13.88,"",2021-05-06,2021-05-05,"ft NGVD29","LOK1",2021-05-05
"06832","L OKEE",2021-05-06,13.87,"",2021-05-07,2021-05-06,"ft NGVD29","LOK1",2021-05-06
"06832","L OKEE",2021-05-07,13.84,"",2021-05-10,2021-05-07,"ft NGVD29","LOK1",2021-05-07
"06832","L OKEE",2021-05-08,13.79,"",2021-05-10,2021-05-08,"ft NGVD29","LOK1",2021-05-08
"06832","L OKEE",2021-05-09,13.74,"",2021-05-10,2021-05-09,"ft NGVD29","LOK1",2021-05-09
"06832","L OKEE",2021-05-10,13.71,"",2021-05-11,2021-05-10,"ft NGVD29","LOK1",2021-05-10
"06832","L OKEE",2021-05-11,13.68,"",2021-05-12,2021-05-11,"ft NGVD29","LOK1",2021-05-11
"06832","L OKEE",2021-05-12,13.65,"",2021-05-13,2021-05-12,"ft NGVD29","LOK1",2021-05-12
"06832","L OKEE",2021-05-13,13.61,"",2021-05-14,2021-05-13,"ft NGVD29","LOK1",2021-05-13
"06832","L OKEE",2021-05-14,13.57,"",2021-05-15,2021-05-14,"ft NGVD29","LOK1",2021-05-14
"06832","L OKEE",2021-05-15,13.52,"",2021-05-16,2021-05-15,"ft NGVD29","LOK1",2021-05-15
"06832","L OKEE",2021-05-16,13.47,"",2021-05-17,2021-05-16,"ft NGVD29","LOK1",2021-05-16
"06832","L OKEE",2021-05-17,13.44,"",2021-05-18,2021-05-17,"ft NGVD29","LOK1",2021-05-17
"06832","L OKEE",2021-05-18,13.38,"",2021-05-19,2021-05-18,"ft NGVD29","LOK1",2021-05-18
"06832","L OKEE",2021-05-19,13.32,"",2021-05-20,2021-05-19,"ft NGVD29","LOK1",2021-05-19
"06832","L OKEE",2021-05-20,13.25,"",2021-05-21,2021-05-20,"ft NGVD29","LOK1",2021-05-20
"06832","L OKEE",2021-05-21,13.2,"",2021-05-23,2021-05-21,"ft NGVD29","LOK1",2021-05-21
"06832","L OKEE",2021-05-22,13.15,"",2021-05-23,2021-05-22,"ft NGVD29","LOK1",2021-05-22
"06832","L OKEE",2021-05-23,13.12,"",2021-05-24,2021-05-23,"ft NGVD29","LOK1",2021-05-23
"06832","L OKEE",2021-05-24,13.08,"",2021-05-25,2021-05-24,"ft NGVD29","LOK1",2021-05-24
"06832","L OKEE",2021-05-25,13.03,"",2021-05-26,2021-05-25,"ft NGVD29","LOK1",2021-05-25
"06832","L OKEE",2021-05-26,12.97,"",2021-06-01,2021-05-26,"ft NGVD29","LOK1",2021-05-26
"06832","L OKEE",2021-05-27,12.91,"",2021-06-01,2021-05-27,"ft NGVD29","LOK1",2021-05-27
"06832","L OKEE",2021-05-28,12.86,"",2021-06-01,2021-05-28,"ft NGVD29","LOK1",2021-05-28
"06832","L OKEE",2021-05-29,12.82,"",2021-06-01,2021-05-29,"ft NGVD29","LOK1",2021-05-29
"06832","L OKEE",2021-05-30,12.81,"",2021-06-01,2021-05-30,"ft NGVD29","LOK1",2021-05-30
"06832","L OKEE",2021-05-31,12.82,"",2021-06-01,2021-05-31,"ft NGVD29","LOK1",2021-05-31
"06832","L OKEE",2021-06-01,12.79,"",2021-06-02,2021-06-01,"ft NGVD29","LOK1",2021-06-01
"06832","L OKEE",2021-06-02,12.78,"",2021-06-03,2021-06-02,"ft NGVD29","LOK1",2021-06-02
"06832","L OKEE",2021-06-03,12.78,"",2021-06-04,2021-06-03,"ft NGVD29","LOK1",2021-06-03
"06832","L OKEE",2021-06-04,12.78,"",2021-06-05,2021-06-04,"ft NGVD29","LOK1",2021-06-04
"06832","L OKEE",2021-06-05,12.78,"",2021-06-06,2021-06-05,"ft NGVD29","LOK1",2021-06-05
"06832","L OKEE",2021-06-06,12.75,"",2021-06-07,2021-06-06,"ft NGVD29","LOK1",2021-06-06
"06832","L OKEE",2021-06-07,12.72,"",2021-06-08,2021-06-07,"ft NGVD29","LOK1",2021-06-07
"06832","L OKEE",2021-06-08,12.69,"",2021-06-09,2021-06-08,"ft NGVD29","LOK1",2021-06-08
"06832","L OKEE",2021-06-09,12.65,"",2021-06-10,2021-06-09,"ft NGVD29","LOK1",2021-06-09
"06832","L OKEE",2021-06-10,12.6,"",2021-06-11,2021-06-10,"ft NGVD29","LOK1",2021-06-10
"06832","L OKEE",2021-06-11,12.55,"",2021-06-12,2021-06-11,"ft NGVD29","LOK1",2021-06-11
"06832","L OKEE",2021-06-12,12.54,"",2021-06-13,2021-06-12,"ft NGVD29","LOK1",2021-06-12
"06832","L OKEE",2021-06-13,12.51,"",2021-06-14,2021-06-13,"ft NGVD29","LOK1",2021-06-13
